job_id,job_title,company,expected_salary,location,short_description,listed_on,link,error,index,tags,content
84579917,Delta Future Leaders 2025 Management Associate Program - Base in Thailand,Delta Electronics (Thailand) Public Company Limited,,Kuala Lumpur,Cross-functional project experience * 24-Month Structured Leadership Program with Executive Mentorship * Join a Global Tech Leader,02-06-2025,https://my.jobstreet.com/job/84579917?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84592212,Assistant Manager Social Media,AT Global Advisory,,Kuala Lumpur,Lead creative social media strategies to elevate brand presence and engagement * Drive campaigns using data insights and collaborate across teams,01-06-2025,https://my.jobstreet.com/job/84592212?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84560517,Lead Chemical Engineer,Honeywell PH/MY/SG/ID (Korn Ferry),,Kuala Lumpur,"You will leading and driving chemical engineering excellence within the company, providing technical leadership, and guidance overall process.",02-06-2025,https://my.jobstreet.com/job/84560517?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84564892,Unit Head-Business Development and Strategy,RHB Banking Group,,Kuala Lumpur,Responsible for the strategic development and execution of the company’s futures and commodities business.,02-06-2025,https://my.jobstreet.com/job/84564892?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84580126,Team Lead - Configuration Management,Cochlear Malaysia Sdn Bhd,,"Bangsar, Kuala Lumpur",The purpose of this position is to manage the PLM Configuration Controllers team and provide comprehensive support to PLM and Planisware users.,02-06-2025,https://my.jobstreet.com/job/84580126?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84613152,Regional Customer Service Manager – Japan (based in KL/Yokohama),AGODA INTERNATIONAL (MALAYSIA) SDN. BHD.,,"Kuala Lumpur City Centre, Kuala Lumpur",Are you a dynamic leader with a knack for driving success in a multicultural environment?,03-06-2025,https://my.jobstreet.com/job/84613152?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84562849,"Senior Manager, Finance (ERP System Implementation)",,,Kuala Lumpur,Strategic Impact & Opportunity to Influence Change * Innovation & Automation * People Development,02-06-2025,https://my.jobstreet.com/job/84562849?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84563444,Regional HR Manager (IT MNC),Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Competitive Salary,Kuala Lumpur,An IT MNC is looking for a Regional HR Manager to drive digital transformation across the APAC region.,02-06-2025,https://my.jobstreet.com/job/84563444?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84563298,Brand Operations Manager,JIALIAN ENTERPRISE DEVELOPMENT (MALAYSIA) SDN BHD,"RM 7,000 – RM 9,000 per month",Kuala Lumpur,"Join a supportive team with real impact, growth opportunities, and exciting projects that help shape the future of our company.",02-06-2025,https://my.jobstreet.com/job/84563298?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,MS BUSINESS SERVICES (M) SDN. BHD.,,Kuala Lumpur,Good career growth opportunities * Opportunities for enhanced learning * Innovative work culture,02-06-2025,https://my.jobstreet.com/MS-BUSINESS-SERVICES-jobs,False,,,
84559817,Marketing Assistant Manager (FI Company),TRUST RECRUIT PTE. LTD.,"RM 6,000 – RM 8,000 per month",Kuala Lumpur,Insurance industry financial institutions company,02-06-2025,https://my.jobstreet.com/job/84559817?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84549481,Pre-sales Manager - Networking/CCTV,TPLINK DISTRIBUTION MALAYSIA SDN BHD,,Kuala Lumpur,Positive team culture * Competitive remuneration package * Career growth opportunities,31-05-2025,https://my.jobstreet.com/job/84549481?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84565655,Senior Program Controls Specialist,Honeywell PH/MY/SG/ID (Korn Ferry),,Kuala Lumpur,"Join a team of specialists that provide program analysis, process improvement, and metrics for Honeywell",02-06-2025,https://my.jobstreet.com/job/84565655?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84532869,"Manager, Cloud Security Governance",Agensi Pekerjaan Asia Recruit Sdn Bhd,"RM 10,000 – RM 14,000 per month",Kuala Lumpur,"Cloud Security Governance is responsible for implementing, overseeing, and maintaining effective governance of cloud-related security control.",31-05-2025,https://my.jobstreet.com/job/84532869?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84541434,Brand Manager (Video) – Malaysia,Midwich Asia Pte. Ltd.,"RM 8,000 – RM 10,000 per month","Bandar Malaysia, Kuala Lumpur",,31-05-2025,https://my.jobstreet.com/job/84541434?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84579583,Senior Account Manager (Sales),ViewQwest Management Sdn Bhd,"RM 7,500 – RM 10,000 per month","Bangsar South, Kuala Lumpur",Opportunity to Sell Cutting-Edge Enterprise Solutions * High-Impact Role with Growth Potential * Performance-Driven Culture with Competitive Rewards,02-06-2025,https://my.jobstreet.com/job/84579583?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84601677,"Account Manager, Performance Vertical, Large Customer Sales",Google Malaysia Sdn Bhd,,Kuala Lumpur,"As an Account Manager, you will build and cultivate relationships with customers to unlock incremental business.",01-06-2025,https://my.jobstreet.com/job/84601677?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84518874,Senior Verification and Validation Services Engineer - KL,Cochlear Malaysia Sdn Bhd,,"Bangsar, Kuala Lumpur","Responsible for ensuring the output of complex high-quality projects, delivered on time to our customers by defining, leading, planning and etc.",31-05-2025,https://my.jobstreet.com/job/84518874?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,,,,,,,True,0.0,['error'],'list' object has no attribute 'usage'
